1,86.02469635,52.05864334,-2.913265944,-23.0557518;35.63360214,44.579216,-1.802760601,16.16963387;58.36835098,87.92567444,5.375580311,-1.448046923;62.97832108,59.88420868,-1.215254426,-0.215396523;82.90945435,66.89940643,0.710024595,-2.940069199;69.86135101,57.00886917,-0.055174358,-1.818737984;23.67265511,83.08753967,17.38677406,5.962339878;45.85120392,44.06328583,-7.637430668,13.98808098;47.83428574,88.75537109,9.159503937,-0.147753805;16.82696533,76.9960022,24.31570053,17.6216011;62.47148132,8.165354729,-6.463911533,-1.745570421;3.06700635,43.10834122,-0.74203074,6.911279202;87.64308929,50.33866501,1.437146425,-10.87715054;17.82007599,79.4561615,0.107586265,-0.540768445;22.03681755,81.33771515,10.85337162,2.970306873;57.46893692,4.262475014,-11.00418663,-6.713353157;13.53761101,76.2791748,5.725244999,7.089195728;81.52971649,71.03146362,4.084097385,-5.458752632;38.50847626,51.79986191,-8.337898254,16.59415436;57.7668457,85.29463196,12.64982319,-1.668595076;51.05034256,87.87984467,3.181335688,-0.727420568;14.84383678,77.39035034,3.035308361,3.63157773;55.01433563,88.72072601,7.337069988,-1.119091272;83.91127014,52.27725601,2.181813717,-16.63981056;59.15099716,87.30018616,1.483510852,-0.334480554
2,86.21100616,40.68123245,1.772298932,-10.68165112;33.13231277,56.25834274,-4.191347599,20.21584129;62.50690842,86.2930069,4.929979324,-1.6927104;61.92333984,59.31323242,-1.176953435,-0.179297999;83.82698059,63.96463394,2.794480562,-3.987336636;69.95650482,56.40146255,2.970381498,-2.563853264;36.39514542,85.99714661,20.9643898,2.352787018;42.06250381,57.69740295,0.051030684,19.83014297;53.04115295,88.55670929,0.254668117,0.259595722;28.57891083,85.77445984,17.02487373,10.78378773;55.44639587,4.491209984,-11.00485802,-5.790540695;2.571874619,45.08582306,-0.583101153,1.449652195;88.5871582,44.86964417,1.593784928,-10.45778084;25.9777832,85.15914154,9.24784565,8.552100182;31.10054779,83.5842514,19.95893288,4.978235245;51.77495956,2.203451872,-1.544770122,-0.268940002;21.71180916,82.68789673,14.6598587,10.79767418;83.71339417,67.49420166,2.422818899,-4.808979034;36.85070801,64.40907288,1.794734597,19.34126282;63.38115311,85.39110565,5.368412971,0.481562406;59.0543251,84.75737762,14.63878822,-6.818550587;18.95642853,80.20996857,16.25110817,6.464210033;60.59261703,85.51381683,12.30339718,-9.44332695;84.33283997,47.12932205,0.290430665,-3.811846495;60.96616745,87.09177399,1.544501305,-0.521057963
3,86.34925079,39.87205887,1.586393476,-8.190032959;33.0759201,58.59685135,0.604790151,23.38284111;62.77789307,86.16064453,2.885417461,-1.002396464;61.78304672,59.27429962,-1.449577451,-0.662166953;84.0041275,63.5733757,1.600728393,-4.121576786;70.18764496,55.88318253,1.848079681,-5.250635624;38.46713257,86.31462097,20.42783928,3.632996321;42.11579514,59.5691185,-0.0008586,18.62026405;53.2771759,88.79038239,5.34728384,-1.298799992;29.73626137,86.44015503,12.30852985,3.44485116;54.63207245,3.972687244,-8.482516289,-4.853334904;2.531791449,45.22542191,-0.437888145,1.296672106;88.70597839,44.02531815,-0.211364836,-8.028391838;26.8660202,85.76534271,10.15351963,3.993458986;32.8791008,83.95209503,17.95111656,2.326655626;51.59978104,2.183505774,-1.730750203,-0.101851381;23.25720596,83.57834625,15.62429237,9.294676781;83.94639587,67.08924866,2.784625292,-3.722290754;37.03804398,65.97285461,2.450032711,15.55483913;63.75449371,85.49980164,3.731548786,1.183224916;60.89030838,83.98114777,17.77435684,-8.924284935;21.18757439,80.95661926,22.44853592,7.106442451;61.92153931,84.44446564,13.67917252,-8.715906143;84.35836792,46.76712799,0.275423825,-3.390722036;61.29729843,87.01718903,3.226654768,-1.350315928
4,87.0189743,31.30319023,-2.084679842,-6.281944275;29.86844826,73.73885345,-6.557442665,12.45178509;69.83465576,81.40171051,5.582844734,-4.39212513;59.6323204,53.48186493,-0.234024405,-9.01682663;86.62361908,58.28855896,1.06966579,-2.95821166;74.38502502,50.6842308,2.221831799,-2.392805099;58.37940216,84.32222748,10.98029518,-6.230446815;44.82172394,75.06385803,5.109227657,8.730016708;70.58075714,77.73623657,10.67500687,-10.00193882;58.21781158,88.03070068,20.891222,-4.206615448;45.70640182,1.567646742,-2.962504625,-0.037668727;2.083686352,45.93021774,-0.045931581,-0.019150505;87.92360687,35.5656395,-4.150918484,-10.05935383;48.12399292,89.89303589,12.53730965,-0.018590549;59.21972275,83.07713318,17.94491959,-7.328558445;41.74790573,1.701689124,-8.36164093,-0.437015563;51.74180222,87.89212036,11.42900658,-1.651199102;86.97258759,60.47797012,1.575866342,-4.204562664;49.91622162,77.82437897,8.786049843,0.678144395;68.66375732,83.20301056,3.004650831,-0.2080051;74.73091888,78.2580719,8.188203812,-1.136114001;50.37949371,82.95573425,10.50567627,-4.865273476;73.5969162,79.54082489,3.098947525,-2.515920877;84.85245514,37.06211472,-2.103195906,-7.584906578;71.3626709,81.43622589,8.220158577,-3.611568689
5,86.89912415,30.83461571,-2.296268702,-4.483980656;29.33782768,74.75676727,-5.27684164,10.19411659;70.43362427,80.75630188,6.190279484,-6.459431648;59.58554459,52.78509903,-0.672208846,-6.533607483;86.7886734,58.02883148,2.323967934,-2.139219761;74.70202637,50.45665741,4.279036522,0.963087499;60.56534195,83.13206482,22.38156509,-10.88413143;45.26695251,75.659935,4.234464169,6.218053341;71.43273926,77.00054169,9.436010361,-5.601952076;60.56082916,87.3575592,23.60630035,-7.087404251;44.80900574,1.569622755,-8.874635696,0.497699648;2.079097748,45.9242897,-0.050308574,-0.163917869;87.57630157,34.63883209,-2.627613544,-9.783854485;49.24860001,89.61928558,10.76445007,-4.125011444;60.83649445,82.4325943,14.67839527,-7.532830715;41.48574448,1.971485496,0.04819357,-0.432562739;53.22930145,87.65457153,15.40316582,-1.318510413;87.22640228,59.76356125,2.525925398,-7.183567047;50.70243073,77.83822632,7.423900604,-1.671656132;69.24063873,82.89222717,5.539386272,-3.284255505;74.80386353,77.84373474,-2.990987778,0.74197942;52.40126419,82.09732819,21.44543076,-7.295259953;73.76886749,79.39198303,1.727278471,-1.122525692;84.61006927,36.08567429,-2.817700148,-9.396178246;71.74235535,81.04558563,3.824277401,-3.770820379
6,86.70658112,30.28956795,-2.612308025,-5.251139641;28.74030304,75.65657043,-7.04077816,8.213811874;70.86230469,80.25662994,4.372661114,-4.985328197;59.54654694,52.2824707,-0.391857415,-5.011085987;86.95800018,57.80272675,1.681287408,-2.529957056;75.49916077,50.38665009,8.062175751,0.340938717;62.64304352,82.01960754,20.99940681,-11.38921261;45.59001923,76.13256073,3.189511061,4.787551403;72.882164,75.97279358,13.71370316,-11.44349098;62.83505249,86.32486725,22.52536201,-11.17150116;43.87982941,1.652648091,-9.219195366,1.640730262;2.074594498,45.9266777,0.010697498,0.040764816;86.99478912,33.63329697,-6.438452244,-9.62038517;50.43086243,89.28253174,11.92453003,-2.735647678;62.48173904,81.19804382,16.36804581,-12.6216383;41.45796585,2.005693913,2.535556793,0.056132119;54.49372864,87.50167847,12.24057007,-2.682489157;87.48446655,59.09606552,2.330538034,-6.628501415;52.07515717,77.65641022,14.33282757,-1.216225028;69.7175827,82.57751465,5.064095497,-2.834722757;74.83660126,77.92710876,0.504557967,1.200994253;54.07954025,81.37810516,16.6571312,-6.446142197;73.72039795,79.17441559,-0.600273132,-0.919522882;84.27642822,35.00916672,-3.859143972,-10.59321594;72.05648804,80.83074951,3.102157831,-2.407140017
7,86.55971527,29.90048981,-0.483055621,-4.404933453;27.9846077,76.6547699,-7.333560944,10.27975178;71.22409058,79.82087708,2.404153585,-5.388347149;59.50265121,51.87262726,-0.562793374,-4.278999329;87.03244781,57.64559555,0.661121726,-1.85946548;76.27592468,50.57299423,7.113460541,4.193438053;64.21443939,81.13787079,15.00600719,-9.436831474;45.91184235,76.53271484,4.630913258,1.993444443;74.15171051,75.04514313,12.40937805,-9.723977089;65.13478851,85.23049927,22.50150681,-11.67023563;43.20824814,1.746565819,-6.835685253,0.993774235;2.074665785,45.93744659,0.003492727,0.050134752;86.13014984,32.06698227,-9.423019409,-15.35844421;51.97058868,89.09162903,15.68553257,-1.274087191;64.12534332,79.82653046,17.10442543,-13.62134743;41.73911667,1.830985785,4.779936314,-1.163029194;56.49834824,86.83948517,20.12621117,-7.079116821;87.65369415,58.44668198,1.44550848,-6.576014519;53.14371109,77.48899841,10.78285408,-1.390259504;70.05989075,82.36643219,3.496889591,-2.109915257;74.72470856,77.80651855,1.315374613,-2.547651768;56.17811203,80.45253754,19.81539726,-11.2580328;73.58847046,79.00067902,-0.737350464,-1.965371966;83.91127777,33.88088608,-3.074309349,-11.79279137;72.22936249,80.70439148,1.725785255,-1.395859003
8,86.08686829,28.78627396,-5.801296234,-11.0576992;27.41137314,77.4444046,-5.831478119,7.88231802;71.83462524,78.96684265,6.474961281,-8.029623985;59.46504593,51.53087234,-0.176124915,-3.162857056;87.10080719,57.47349167,0.163731217,-1.718505859;77.34555054,51.09410095,10.84082794,5.154211044;66.27024841,79.89613342,20.5314312,-12.86869144;46.61547089,77.0353775,7.089531898,5.265903473;75.8235321,73.9407959,17.71970558,-9.984991074;66.4227066,84.57194519,13.22138882,-6.217754841;42.66558456,1.863921881,-4.926010132,2.32689023;2.067209244,45.92489624,-0.146268755,-0.019299828;85.32678223,30.36483765,-6.865885258,-18.09173965;53.58853149,88.82243347,15.72801495,-4.009660244;65.41817474,78.8677063,12.87070751,-9.70068264;42.02703476,1.709538579,3.592343569,-0.121491849;58.72661591,86.09484863,22.07997322,-6.584339142;87.85656738,57.69626236,1.881005168,-7.543059349;54.10555267,77.29523468,8.557961464,-3.855485678;70.38018799,82.18325043,3.207429647,-1.897953153;74.81911469,77.85646057,1.681362033,-1.037113667;58.39680862,79.2649765,22.94671059,-10.70935059;73.65000153,78.84984589,0.730183005,-2.505692482;83.6335144,33.0088768,-3.132843494,-8.510364532;72.34635925,80.61940002,0.917656362,-1.087360501
9,82.8438797,22.1838398,-0.798497677,-1.37978828;23.74190331,81.66400146,-3.934178114,4.390953064;82.33932495,67.53585815,10.68187523,-12.15276909;58.53272629,47.47603989,-0.636856973,-2.291303873;87.67974091,55.35296249,0.541141748,-1.723172188;81.83123779,52.32691956,3.498382807,-2.371862888;78.54158783,66.72268677,10.29513264,-11.78961849;51.76665115,78.78453064,10.42944717,-0.36583811;83.30638123,68.20204926,4.785087585,-7.74165678;74.69335175,78.87337494,14.23281956,-10.36449242;40.52711868,7.981661797,4.390019894,6.258547306;2.068916082,45.86084366,-0.001481551,0.065514885;81.79963684,20.76158714,-4.11381197,-5.905803204;69.0240097,82.68047333,15.44441605,-8.857462883;75.07266235,70.82939148,16.90717125,-11.3487463;51.05833054,3.015188694,19.64905357,1.952572227;69.96398163,79.89698029,11.16411018,-10.24518394;88.73197937,51.25131989,0.545098782,-4.809091091;63.77978897,73.17977905,6.834154606,-5.833400726;75.43828583,75.64526367,12.43924236,-13.62172031;81.02658844,71.60533905,9.986006737,-10.29493809;70.84954834,70.07797241,14.31084061,-14.7157259;79.48390198,73.4896698,2.209736824,-5.695203304;81.03749084,27.01338005,-3.326812267,-7.096792698;77.33856201,75.78914642,7.811464787,-7.816915035
10,82.78406525,22.05927658,-0.606320679,-1.634120464;23.41074944,82.03521729,-3.239085913,3.879451752;83.14057159,66.73049164,7.979153156,-8.110033989;58.53821564,47.14715195,3.021636009,-3.572894335;87.87553406,55.15174484,3.343237638,-1.477985978;82.27211761,51.80116653,2.923419714,-6.494223595;79.44976807,65.74204254,10.01784229,-8.477663994;53.0851059,78.78884888,13.87765789,0.765945554;83.644104,67.5798645,3.860861301,-6.042226791;75.77735138,77.86373138,10.5707798,-10.31566429;41.39117813,8.548084259,9.919924736,4.321733475;2.069117069,45.84176636,0.080716535,-0.324326694;81.28242493,19.98917198,-5.979138374,-7.216940403;70.21797943,81.88968658,11.89011192,-8.088381767;76.70594025,69.47703552,15.38274574,-14.92320824;52.35472107,2.991179228,13.01797581,-0.295379281;70.84329987,78.94387817,9.906895638,-8.148708344;88.77622986,50.82051086,0.381815523,-4.35276413;64.85411835,72.40681458,11.0442791,-7.678792477;76.94592285,73.80670166,13.88333225,-19.79400635;81.50547028,70.96483612,4.619340897,-6.954358578;72.21199799,68.44798279,12.65493774,-17.15310287;79.71194458,73.22509766,2.633586407,-2.361970186;80.75779724,26.42391777,-2.829720497,-5.839075089;77.92243195,75.29676819,6.09142828,-4.475991726
